"gene.id"	"ps"	"ps.FDR"	"corr.coef"
"1"	"Umad1"	0.001	1	0.52006517643564
"2"	"Itfg2"	0.002	1	0.51021093988805
"3"	"Nup133"	0.001	1	0.485851652892266
"4"	"Dusp5"	0.001	1	0.485552007492782
"5"	"Cry2"	0.002	1	0.437823066755455
"6"	"Ppap2b"	0.003	1	0.437823066755455
"7"	"AV051173"	0.002	1	0.426993247149884
"8"	"Bud13"	0.001	1	0.426804965428314
"9"	"Atad1"	0.001	1	0.421044642519855
"10"	"Gtf3c1"	0.001	1	0.414767766417365
"11"	"Srf"	0.001	1	0.407363231343674
"12"	"Als2"	0.001	1	0.404060110609587
"13"	"Plekhg3"	0.003	1	0.402005129817833
"14"	"Wdhd1"	0.003	1	0.402005129817833
"15"	"Zfp51"	0.004	1	0.397537835901091
"16"	"Poc1b"	0.002	1	0.397133899169236
"17"	"Pacs2"	0.009	1	0.392419193166001
"18"	"Clpb"	0.005	1	0.392419193166001
"19"	"Ctdp1"	0.004	1	0.384732262070278
"20"	"Slc11a2"	0.003	1	0.383815928059233
"21"	"Mrgpra1"	0.004	1	0.382948836658387
"22"	"Slc15a3"	0.005	1	0.382151217368413
"23"	"Prdx1"	0.004	1	0.377789679078486
"24"	"Ss18"	0.004	1	0.37610264503072
"25"	"Mir3064"	0.004	1	0.374227023040756
"26"	"Mylpf"	0.006	1	0.368700150133855
"27"	"Ppp4r2"	0.001	1	0.362053949405863
"28"	"Zfp408"	0.007	1	0.360250065119293
"29"	"Ninj1"	0.006	1	0.358332140642145
"30"	"Fbxo28"	0.003	1	0.357551998909725
"31"	"Dab2ip"	0.004	1	0.356642970637712
"32"	"Det1"	0.014	1	0.355263885009857
"33"	"Impdh2"	0.007	1	0.352657220902927
"34"	"Hmox1"	0.006	1	0.348188567906157
"35"	"Tmem132a"	0.007	1	0.347972867036425
"36"	"Glis3"	0.008	1	0.347015319576546
"37"	"Plcb3"	0.004	1	0.342451416063156
"38"	"Magi3"	0.004	1	0.342289903221002
"39"	"Gng12"	0.002	1	0.333222061914373
"40"	"Tgoln2"	0.005	1	0.332029782332482
"41"	"Prkci"	0.004	1	0.325909786822419
"42"	"Saysd1"	0.006	1	0.323743774947614
"43"	"Plekhh1"	0.011	1	0.323417054519643
"44"	"Pigh"	0.007	1	0.323417054519643
"45"	"Xpnpep3"	0.008	1	0.323417054519643
"46"	"Mrpl11"	0.007	1	0.323417054519643
"47"	"Ctnnal1"	0.007	1	0.323417054519643
"48"	"Txndc12"	0.008	1	0.323417054519643
"49"	"Slc10a7"	0.006	1	0.323417054519643
"50"	"Atp1a2"	0.014	1	0.322242261654951
"51"	"Vav1"	0.008	1	0.322126183361987
"52"	"Slfn8"	0.005	1	0.322038600343823
"53"	"Cfl1"	0.004	1	0.321988454749296
"54"	"Tlr8"	0.005	1	0.321816728668163
"55"	"Heatr6"	0.004	1	0.321516355904084
"56"	"Arrb1"	0.01	1	0.320460278886781
"57"	"Cebpb"	0.007	1	0.319331138781547
"58"	"Hs6st1"	0.021	1	0.317544957161047
"59"	"Prr11"	0.017	1	0.317544957161047
"60"	"Kif13a"	0.018	1	0.317544957161047
"61"	"Cbx6"	0.021	1	0.317544957161047
"62"	"Mcoln3"	0.019	1	0.317544957161047
"63"	"Mutyh"	0.024	1	0.317544957161047
"64"	"Acad11"	0.015	1	0.317544957161047
"65"	"Ddx21"	0.006	1	0.31720612196987
"66"	"Dock10"	0.005	1	0.316614332080873
"67"	"Pip4k2c"	0.012	1	0.315650180573923
"68"	"Rufy1"	0.004	1	0.31495888647469
"69"	"Mrpl36"	0.009	1	0.313459948316146
"70"	"Ccnl1"	0.012	1	0.312749922192455
"71"	"Ppcdc"	0.01	1	0.312514614230045
"72"	"Wdr6"	0.005	1	0.312430941961535
"73"	"Pla2g7"	0.007	1	0.309121702208864
"74"	"Ppt2"	0.006	1	0.308903748954644
"75"	"Mrgpra9"	0.014	1	0.308496791015669
"76"	"Rars"	0.004	1	0.308383297071539
"77"	"Gadd45g"	0.011	1	0.308320822113159
"78"	"Birc5"	0.008	1	0.308195953458557
"79"	"Anapc16"	0.008	1	0.30406725153059
"80"	"Pkd2"	0.01	1	0.30278757664116
"81"	"Ccl4"	0.012	1	0.30192239342212
"82"	"Mterf2"	0.009	1	0.300896457014346
"83"	"Tgfb1"	0.014	1	0.30005194855881
"84"	"Coq10b"	0.003	1	0.299868526590361
"85"	"Rpap1"	0.008	1	0.299600155014975
"86"	"Tgif1"	0.005	1	0.298481507363618
"87"	"Glyat"	0.01	1	0.297653695053928
"88"	"Cd86"	0.016	1	0.296484502992813
"89"	"Tmcc3"	0.02	1	0.29586336691392
"90"	"Afmid"	0.023	1	0.29586336691392
"91"	"Ly6k"	0.015	1	0.29586336691392
"92"	"Lclat1"	0.024	1	0.29586336691392
"93"	"Scyl1"	0.022	1	0.29586336691392
"94"	"Ercc6l"	0.028	1	0.29586336691392
"95"	"4930414N06Rik"	0.011	1	0.2953987720025
"96"	"Gje1"	0.019	1	0.295086248772598
"97"	"Epsti1"	0.007	1	0.294928810866883
"98"	"Lsm10"	0.01	1	0.293630805459228
"99"	"Ppih"	0.024	1	0.293322242442629
"100"	"Mast1"	0.016	1	0.293322242442629
"101"	"Gm9159"	0.015	1	0.293322242442629
"102"	"Mtmr14"	0.009	1	0.291931398802678
"103"	"Emid1"	0.017	1	0.29147665277516
"104"	"Ctu2"	0.012	1	0.290307930639461
"105"	"Mmp8"	0.014	1	0.288960450360193
"106"	"Cetn2"	0.009	1	0.28826414035698
"107"	"Fas"	0.011	1	0.287643392331627
"108"	"Pdcl3"	0.012	1	0.286612188078146
"109"	"Senp6"	0.007	1	0.286251576663291
"110"	"Lfng"	0.007	1	0.286161008257879
"111"	"Umps"	0.015	1	0.286150545205746
"112"	"Jun"	0.012	1	0.285865089144417
"113"	"Polr3gl"	0.009	1	0.285233496005313
"114"	"Rps6kc1"	0.015	1	0.28477440207607
"115"	"Sec13"	0.009	1	0.284763938387793
"116"	"Chrm1"	0.013	1	0.283747094739566
"117"	"Lpxn"	0.006	1	0.283437162697011
"118"	"Nxf1"	0.013	1	0.282716636667999
"119"	"Sertad1"	0.013	1	0.282206918727925
"120"	"Nt5dc2"	0.007	1	0.279851963012065
"121"	"Ubc"	0.012	1	0.279504794618577
"122"	"Slc30a7"	0.01	1	0.279381939046164
"123"	"Gstp2"	0.012	1	0.278251004372836
"124"	"Pik3r1"	0.003	1	0.278211659104602
"125"	"Erich1"	0.014	1	0.278082792406739
"126"	"Pofut2"	0.01	1	0.278010700201735
"127"	"Scpep1"	0.007	1	0.277511705745749
"128"	"Zcchc18"	0.016	1	0.276907323614022
"129"	"Msh6"	0.008	1	0.275756786580838
"130"	"Inpp5b"	0.027	1	0.275244041548178
"131"	"Cbx4"	0.021	1	0.274946019934196
"132"	"Gm16523"	0.023	1	0.274946019934196
"133"	"Cyb5b"	0.012	1	0.274386309769839
"134"	"Arl16"	0.022	1	0.274375569549652
"135"	"Lrrc20"	0.031	1	0.274181776666793
"136"	"Pus7l"	0.033	1	0.274181776666793
"137"	"Mus81"	0.029	1	0.274181776666793
"138"	"2410127L17Rik"	0.038	1	0.274181776666793
"139"	"Cep152"	0.027	1	0.274181776666793
"140"	"Ubxn11"	0.025	1	0.274181776666793
"141"	"Cd36"	0.029	1	0.274181776666793
"142"	"Ankrd26"	0.026	1	0.274181776666793
"143"	"Map3k10"	0.027	1	0.274181776666793
"144"	"Zfp709"	0.022	1	0.274181776666793
"145"	"Ogfod1"	0.032	1	0.274181776666793
"146"	"Ankrd49"	0.043	1	0.274181776666793
"147"	"Mpi"	0.044	1	0.274181776666793
"148"	"Brd1"	0.012	1	0.274128017158982
"149"	"AI314180"	0.006	1	0.273423748347607
"150"	"Nsl1"	0.011	1	0.273173989790563
"151"	"Gm16287"	0.019	1	0.272793418512157
"152"	"Ints1"	0.014	1	0.272671802485566
"153"	"Itpa"	0.019	1	0.272346080557511
"154"	"Ccdc23"	0.027	1	0.272320424577667
"155"	"Vmp1"	0.011	1	0.271367272827145
"156"	"Vamp3"	0.021	1	0.270896710727173
"157"	"Kalrn"	0.022	1	0.269131891277036
"158"	"Mir8094"	0.022	1	0.267897202346311
"159"	"Kat6b"	0.035	1	0.267655439359209
"160"	"Pusl1"	0.019	1	0.267422373578676
"161"	"Sgms1"	0.017	1	0.266825280178891
"162"	"Spryd7"	0.022	1	0.266440759358515
"163"	"Ankrd9"	0.024	1	0.266075677161993
"164"	"Tfdp1"	0.013	1	0.265207843919111
"165"	"LOC100038947"	0.016	1	0.264575440382188
"166"	"Mtdh"	0.011	1	0.264471905015745
"167"	"Tubb5"	0.013	1	0.26416267716785
"168"	"Fam110a"	0.013	1	0.264162541176505
"169"	"Ahcyl1"	0.013	1	0.262771855302215
"170"	"D17H6S53E"	0.013	1	0.262733483388502
"171"	"Mir5132"	0.022	1	0.262382818619684
"172"	"Athl1"	0.016	1	0.262342976439661
"173"	"Clec7a"	0.02	1	0.262314908137078
"174"	"Lyrm4"	0.017	1	0.261791642787946
"175"	"Snx9"	0.024	1	0.261778362162296
"176"	"Ubxn4"	0.019	1	0.261459645694382
"177"	"Fbxw7"	0.017	1	0.26002132893263
"178"	"Ppp1r12b"	0.014	1	0.25951579935329
"179"	"Apbb3"	0.012	1	0.259013827324685
"180"	"Ly6g5b"	0.039	1	0.257552777705299
"181"	"Sec24b"	0.014	1	0.257441333315916
"182"	"Letm2"	0.02	1	0.25721372581404
"183"	"Fth1"	0.013	1	0.256543103859549
"184"	"Lamp1"	0.017	1	0.255309659083525
"185"	"Uba1"	0.021	1	0.254381245628346
"186"	"Wipf2"	0.027	1	0.253206015141094
"187"	"Dhcr7"	0.024	1	0.253183284790303
"188"	"9530091C08Rik"	0.027	1	0.252865573823497
"189"	"Atf4"	0.024	1	0.251869226293944
"190"	"B9d2"	0.014	1	0.251817508191294
"191"	"Rhbdd1"	0.036	1	0.251795403432574
"192"	"Mrto4"	0.016	1	0.251601644269912
"193"	"Knop1"	0.03	1	0.2509014255844
"194"	"Fam96b"	0.017	1	0.250866824809148
"195"	"Psmd5"	0.025	1	0.250793831215773
"196"	"Rhoc"	0.022	1	0.250012713447184
"197"	"Atad5"	0.017	1	0.249899256616507
"198"	"Kif1b"	0.02	1	0.249841301951665
"199"	"Matk"	0.019	1	0.249133109209201
"200"	"Map2k3"	0.022	1	0.248843034634358
"201"	"Senp2"	0.023	1	0.248256151086622
"202"	"Arhgdia"	0.028	1	0.248060964685333
"203"	"Rapgef1"	0.023	1	0.247767717814119
"204"	"H2-Q5"	0.017	1	0.247669349139811
"205"	"Gdap10"	0.014	1	0.247377530184105
"206"	"Mrpl33"	0.029	1	0.24723682600532
"207"	"Sirpb1b"	0.025	1	0.246639726381943
"208"	"Tsnax"	0.022	1	0.24605672660285
"209"	"2810021J22Rik"	0.033	1	0.245074383078384
"210"	"Fnip1"	0.025	1	0.244959659798221
"211"	"Rsph1"	0.027	1	0.244392981567212
"212"	"Shisa4"	0.034	1	0.243917890280178
"213"	"Cfh"	0.034	1	0.243917890280178
"214"	"Dars2"	0.021	1	0.243917890280178
"215"	"Socs7"	0.036	1	0.243917890280178
"216"	"Ttc25"	0.027	1	0.243917890280178
"217"	"Acot13"	0.045	1	0.243917890280178
"218"	"A630023A22Rik"	0.045	1	0.243917890280178
"219"	"Cubn"	0.037	1	0.243917890280178
"220"	"Sh3d19"	0.034	1	0.243917890280178
"221"	"Tchh"	0.037	1	0.243917890280178
"222"	"Phf24"	0.03	1	0.243917890280178
"223"	"A430085M09Rik"	0.052	1	0.243917890280178
"224"	"Vmn2r58"	0.032	1	0.243917890280178
"225"	"Gpatch8"	0.029	1	0.243697524237931
"226"	"Tbl3"	0.02	1	0.243633501738362
"227"	"Rasgef1b"	0.021	1	0.243553192467693
"228"	"Itgb4"	0.024	1	0.24352471734544
"229"	"Eya1"	0.052	1	0.242990403734613
"230"	"9430016H08Rik"	0.048	1	0.242990403734613
"231"	"Itm2c"	0.057	1	0.242990403734613
"232"	"Slc26a9"	0.055	1	0.242990403734613
"233"	"Slc19a2"	0.077	1	0.242990403734613
"234"	"Esr1"	0.058	1	0.242990403734613
"235"	"Fbxo5"	0.06	1	0.242990403734613
"236"	"Cenpw"	0.074	1	0.242990403734613
"237"	"Aifm2"	0.064	1	0.242990403734613
"238"	"Tspan15"	0.052	1	0.242990403734613
"239"	"4930404N11Rik"	0.05	1	0.242990403734613
"240"	"Agap2"	0.063	1	0.242990403734613
"241"	"Urgcp"	0.053	1	0.242990403734613
"242"	"Fignl1"	0.059	1	0.242990403734613
"243"	"Slc25a35"	0.05	1	0.242990403734613
"244"	"Gpr22"	0.056	1	0.242990403734613
"245"	"Mdga2"	0.07	1	0.242990403734613
"246"	"Akap5"	0.068	1	0.242990403734613
"247"	"Slirp"	0.045	1	0.242990403734613
"248"	"Gm1995"	0.054	1	0.242990403734613
"249"	"Gm7104"	0.059	1	0.242990403734613
"250"	"Hist1h4d"	0.053	1	0.242990403734613
"251"	"Bmp6"	0.074	1	0.242990403734613
"252"	"Gfod1"	0.06	1	0.242990403734613
"253"	"Zfp346"	0.047	1	0.242990403734613
"254"	"Zfp369"	0.063	1	0.242990403734613
"255"	"Zfp708"	0.062	1	0.242990403734613
"256"	"Gm7120"	0.048	1	0.242990403734613
"257"	"Ppp3cb"	0.068	1	0.242990403734613
"258"	"Zcchc24"	0.061	1	0.242990403734613
"259"	"Il17rd"	0.059	1	0.242990403734613
"260"	"Phf7"	0.061	1	0.242990403734613
"261"	"4931440J10Rik"	0.06	1	0.242990403734613
"262"	"Pbk"	0.07	1	0.242990403734613
"263"	"Mir6539"	0.073	1	0.242990403734613
"264"	"Eppk1"	0.065	1	0.242990403734613
"265"	"BC024139"	0.068	1	0.242990403734613
"266"	"Csrnp2"	0.049	1	0.242990403734613
"267"	"Pla2g10"	0.056	1	0.242990403734613
"268"	"Mzt2"	0.066	1	0.242990403734613
"269"	"Gp5"	0.058	1	0.242990403734613
"270"	"Nsun3"	0.058	1	0.242990403734613
"271"	"Tiam1"	0.055	1	0.242990403734613
"272"	"Abca17"	0.049	1	0.242990403734613
"273"	"Nme3"	0.064	1	0.242990403734613
"274"	"Lmf1"	0.066	1	0.242990403734613
"275"	"Fance"	0.063	1	0.242990403734613
"276"	"Zfp763"	0.065	1	0.242990403734613
"277"	"Zfp563"	0.061	1	0.242990403734613
"278"	"Tmem63b"	0.049	1	0.242990403734613
"279"	"Unc5cl"	0.054	1	0.242990403734613
"280"	"Kat2b"	0.06	1	0.242990403734613
"281"	"Rprd1a"	0.05	1	0.242990403734613
"282"	"Pcdhgb1"	0.055	1	0.242990403734613
"283"	"Pcdhgb2"	0.057	1	0.242990403734613
"284"	"Ska1"	0.072	1	0.242990403734613
"285"	"Gng3"	0.043	1	0.242990403734613
"286"	"Rorb"	0.077	1	0.242990403734613
"287"	"Mir8092"	0.056	1	0.242990403734613
"288"	"5031426D15Rik"	0.07	1	0.242990403734613
"289"	"Prkcq"	0.059	1	0.242990403734613
"290"	"Epc2"	0.043	1	0.242990403734613
"291"	"Lrp2"	0.06	1	0.242990403734613
"292"	"Gpr155"	0.057	1	0.242990403734613
"293"	"Hoxd4"	0.065	1	0.242990403734613
"294"	"Cerkl"	0.064	1	0.242990403734613
"295"	"Slc43a3"	0.062	1	0.242990403734613
"296"	"Tmx4"	0.055	1	0.242990403734613
"297"	"E2f1"	0.064	1	0.242990403734613
"298"	"Tldc2"	0.06	1	0.242990403734613
"299"	"Dbndd2"	0.068	1	0.242990403734613
"300"	"Gm14322"	0.055	1	0.242990403734613
"301"	"Uckl1os"	0.063	1	0.242990403734613
"302"	"Mccc1os"	0.054	1	0.242990403734613
"303"	"Wwtr1"	0.072	1	0.242990403734613
"304"	"Gstcd"	0.049	1	0.242990403734613
"305"	"2410004B18Rik"	0.082	1	0.242990403734613
"306"	"Tyw3"	0.063	1	0.242990403734613
"307"	"Polr1e"	0.07	1	0.242990403734613
"308"	"Svep1"	0.058	1	0.242990403734613
"309"	"Slc46a2"	0.059	1	0.242990403734613
"310"	"Ccdc171"	0.071	1	0.242990403734613
"311"	"Haus6"	0.058	1	0.242990403734613
"312"	"Apitd1"	0.054	1	0.242990403734613
"313"	"Tmem201"	0.064	1	0.242990403734613
"314"	"Gm15421"	0.065	1	0.242990403734613
"315"	"Mir3471-1"	0.076	1	0.242990403734613
"316"	"Hps4"	0.057	1	0.242990403734613
"317"	"Cit"	0.067	1	0.242990403734613
"318"	"Gm10390"	0.074	1	0.242990403734613
"319"	"P2rx7"	0.058	1	0.242990403734613
"320"	"Vps37d"	0.058	1	0.242990403734613
"321"	"A430035B10Rik"	0.05	1	0.242990403734613
"322"	"Aass"	0.058	1	0.242990403734613
"323"	"Snrnp27"	0.045	1	0.242990403734613
"324"	"Prok2"	0.051	1	0.242990403734613
"325"	"9530062K07Rik"	0.061	1	0.242990403734613
"326"	"1190002F15Rik"	0.061	1	0.242990403734613
"327"	"Kcnn4"	0.064	1	0.242990403734613
"328"	"Mrps12"	0.054	1	0.242990403734613
"329"	"Ccne1"	0.052	1	0.242990403734613
"330"	"Ldhc"	0.071	1	0.242990403734613
"331"	"Mrgpra4"	0.057	1	0.242990403734613
"332"	"Prc1"	0.06	1	0.242990403734613
"333"	"Usp35"	0.057	1	0.242990403734613
"334"	"Eef2k"	0.048	1	0.242990403734613
"335"	"Tbx6"	0.055	1	0.242990403734613
"336"	"Doc2a"	0.061	1	0.242990403734613
"337"	"Tmem265"	0.065	1	0.242990403734613
"338"	"Slc5a2"	0.063	1	0.242990403734613
"339"	"Nadsyn1"	0.057	1	0.242990403734613
"340"	"Mrgprd"	0.051	1	0.242990403734613
"341"	"Defb38"	0.058	1	0.242990403734613
"342"	"Neil3"	0.058	1	0.242990403734613
"343"	"Nek1"	0.06	1	0.242990403734613
"344"	"Gtpbp3"	0.06	1	0.242990403734613
"345"	"Zfp90"	0.044	1	0.242990403734613
"346"	"Acsf3"	0.074	1	0.242990403734613
"347"	"Kbtbd3"	0.072	1	0.242990403734613
"348"	"Olfr921"	0.058	1	0.242990403734613
"349"	"Mir6385"	0.054	1	0.242990403734613
"350"	"Kif23"	0.053	1	0.242990403734613
"351"	"Glce"	0.061	1	0.242990403734613
"352"	"Ctdspl"	0.047	1	0.242990403734613
"353"	"Gm21950"	0.063	1	0.242990403734613
"354"	"Gm14346"	0.067	1	0.242990403734613
"355"	"Gm3701"	0.058	1	0.242990403734613
"356"	"Gm14345"	0.06	1	0.242990403734613
"357"	"Gm3750"	0.062	1	0.242990403734613
"358"	"Gm3706"	0.053	1	0.242990403734613
"359"	"Gm14351"	0.047	1	0.242990403734613
"360"	"Gm2913"	0.059	1	0.242990403734613
"361"	"Gm14347"	0.071	1	0.242990403734613
"362"	"Gm10921"	0.051	1	0.242990403734613
"363"	"Gm10922"	0.055	1	0.242990403734613
"364"	"Gm5925"	0.069	1	0.242990403734613
