exp_id,movement,group,label,speed_median,speed_mad,speed_p25,speed_p75,curvature_median,curvature_mad,curvature_p25,curvature_p75,n_curva_peak,torsion_median,torsion_mad,torsion_p25,torsion_p75,n_torsion_peak,xy_ecc_median,xy_ecc_mad,xy_ecc_p25,xy_ecc_p75,xz_ecc_median,xz_ecc_mad,xz_ecc_p25,xz_ecc_p75,shape_diff_median,shape_diff_mad,shape_diff_p25,shape_diff_p75,xy_ecc_median_original,xy_ecc_mad_original,xy_ecc_p25_original,xy_ecc_p75_original,xz_ecc_median_original,xz_ecc_mad_original,xz_ecc_p25_original,xz_ecc_p75_original,shape_diff_median_original,shape_diff_mad_original,shape_diff_p25_original,shape_diff_p75_original
725,resting,resting_lps,1,-0.624970265,-0.635861902,-0.608591677,-0.634865584,1.735736049,1.200673181,1.65382455,0.63154597,0.785124692,0.241770943,0.4660071,0.437026121,2.261744763,1.507556723,0.436956043,0.759914338,-0.224365336,0.417073758,0.184723479,0.149181109,0.085448121,0.128563507,-0.457951771,0.685038137,-0.60847939,0.147318062,0.136720583,-0.568122596,0.59167919,-0.152598655,0.752216964,-0.382439937,0.696240062,0.379768069,-0.700187958,-0.530771691,-0.667683771,-0.690891587
728,moving,moving_lps,2,1.540858658,2.266222301,1.102740355,1.504988735,-1.093764775,-1.127203703,-1.005024981,-1.112496411,-1.038390722,-0.97982194,-1.071638024,-0.903213865,-1.116520964,-0.904534034,2.201175273,0.471827769,2.251402653,1.525814361,0.535421215,-0.746511761,0.743481767,-0.064990126,1.66791728,0.284542781,1.735941104,1.2851227,-0.666578695,1.539636264,-1.633611908,0.018570473,0.865124341,1.965070721,0.406859055,1.691981776,1.934796589,1.821726233,1.720101477,1.673585493
732,moving,moving_lps,2,-0.619285057,-0.608315476,-0.602730553,-0.619100515,1.116652528,1.046113643,1.637536964,1.427092458,0.785124692,0.324103785,0.20306252,0.549446476,0.226605271,0.301511345,-0.343998847,1.092805746,-0.490550121,0.061215788,0.598641723,0.365582126,0.460482718,0.869034274,0.141433174,1.245830997,-0.120940198,0.320139447,-0.24293678,-0.577444266,0.123205135,-0.988055279,0.604718394,-0.503076841,0.674963068,0.227633113,-0.577679793,-0.285489885,-0.745236478,-0.587926289
737,resting,resting_lps,1,-0.633010699,-0.591102135,-0.628255582,-0.6137039,0.909352288,1.235804202,0.43133856,1.387614801,0.177286221,0.451347167,0.901352565,-0.14819229,1.589404365,1.507556723,-1.503233567,0.109653308,-1.530423118,-0.626358411,-1.875734285,0.363091842,-2.172875289,-1.409210898,-0.409727002,0.891740646,-0.639738488,-0.131293574,-0.413046483,-0.796052203,0.231737568,-0.777932953,0.988372922,-0.44892323,1.098411761,0.721447614,-0.698026298,-0.31483212,-0.780432049,-0.671902879
738,resting,resting_lps,1,-0.609625206,-0.602042109,-0.581373042,-0.599963465,1.547002337,2.07838146,0.261910061,0.88961247,0.785124692,-0.005172932,0.14744466,-0.279154085,-0.176355215,-0.301511345,-0.027770815,2.006082705,-0.442874918,0.624041986,0.685638152,1.644439912,0.108044649,2.171836015,0.309715237,0.707699306,-0.157618861,-0.249503009,-0.181411126,-0.545817922,0.282911137,-0.5465499,1.35970845,-0.47627024,1.38353892,0.988208369,-0.556745965,-0.592366037,-0.629361862,-0.634062327
740,moving,moving_lps,2,1.155075072,0.340992496,1.209539625,0.795471839,-1.101875178,-1.150760734,-0.990801293,-1.137412124,-1.038390722,-0.983234856,-1.075443429,-0.903936595,-1.115707805,-0.904534034,1.562821171,0.754617775,1.693064995,2.598374487,0.613353783,1.205149428,0.065810513,0.947265183,0.520310061,1.450435635,0.525761031,1.032916082,-0.091724353,0.833297778,-0.157487594,1.008142046,0.665498453,2.160385715,0.16677858,2.1059576,1.032239968,2.27997867,0.798129201,1.212441163
743,moving,moving_lps,2,0.938547133,1.343586845,0.741111809,1.266695787,-1.099610111,-1.137419868,-1.006598639,-1.132001433,-0.430552251,-0.971251322,-1.053436163,-0.894485238,-1.054584208,-1.507556723,2.418715769,0.071794912,0.825906173,1.326697389,-0.932167675,-0.37368525,-0.57767526,-0.711553257,1.675705448,0.654661102,1.785131197,1.913786841,-3.623067447,2.931079397,-3.935749436,-0.140120226,-0.490500199,2.629049162,-1.596616857,-0.303253815,1.734997232,1.809175484,1.651897707,1.79524691
744,moving,moving_lps,2,0.903391542,0.956867044,0.863185367,0.804848257,-1.055353371,-1.096413279,-0.97622017,-1.107794797,-1.646229194,-0.975237469,-1.061865375,-0.893618475,-1.072717243,-1.507556723,0.328537995,-0.355713993,0.946206514,0.0990761,-0.513075233,-0.640972616,-0.10501504,-0.130799046,1.753473655,1.57363608,2.088247057,1.707352087,0.532222806,1.922075494,-0.814197714,2.182145505,-0.565472476,0.189171183,-0.560988538,-0.298189387,1.485895214,1.757948221,1.606418447,1.760513585
746,resting,resting_lps,1,-0.603258837,-0.570467953,-0.582561253,-0.589083391,-0.059768271,0.089116434,-0.231453363,0.075962981,0.177286221,0.208916873,0.576628674,-0.105746549,0.592535305,0.904534034,-0.758953699,1.944287884,-1.53436423,0.789241539,-0.129266378,1.53487728,-0.709396655,0.605645946,-0.502786652,0.128637235,-0.460833163,-0.245934812,-0.141334601,-0.303233334,0.264713739,-0.296322439,0.797429813,-0.258531236,0.833299454,0.612507422,-0.527917218,-0.71000977,-0.439973367,-0.532279259
753,resting,resting_lps,1,-0.507643577,-0.426252697,-0.529209695,-0.49481853,-0.93993952,-0.951465682,-0.857298023,-0.887548854,-0.430552251,-0.731750634,-0.760140175,-0.542239535,-0.852733144,-0.301511345,-0.662633868,-1.115259818,-0.175261777,-0.963690669,-0.039962925,-0.999000313,0.13478609,-0.638313519,-1.137040413,-1.499855285,-1.000225081,-1.310874445,0.265005017,-0.812352459,0.675363579,-0.494657461,-0.992311151,-0.440070118,-0.806120661,-1.093054001,-0.58001816,-0.561390121,-0.566826898,-0.598745541
